SMP0000004,Glycine and Serine Metabolism,Metabolic,P21397,Amine oxidase [flavin-containing] A,HMDBP00169,,X60809,MAOA,Xp11.3
SMP0000004,Glycine and Serine Metabolism,Metabolic,P05091,"Aldehyde dehydrogenase, mitochondrial",HMDBP00295,,K03001,ALDH2,12q24.2
SMP0000004,Glycine and Serine Metabolism,Metabolic,O75600,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",HMDBP00049,,AK123190,GCAT,22q13.1
SMP0000004,Glycine and Serine Metabolism,Metabolic,Q9UI17,"Dimethylglycine dehydrogenase, mitochondrial",HMDBP00203,,AC020937,DMGDH,5q14.1
SMP0000004,Glycine and Serine Metabolism,Metabolic,Q9UL12,"Sarcosine dehydrogenase, mitochondrial",HMDBP00793,,AF140736,SARDH,9q33-q34
SMP0000004,Glycine and Serine Metabolism,Metabolic,P23378,"Glycine dehydrogenase [decarboxylating], mitochondrial",HMDBP00795,,M63635,GLDC,9p22
SMP0000004,Glycine and Serine Metabolism,Metabolic,P48728,"Aminomethyltransferase, mitochondrial",HMDBP00688,,AK296177,AMT,3p21.2-p21.1
SMP0000004,Glycine and Serine Metabolism,Metabolic,P34897,"Serine hydroxymethyltransferase, mitochondrial",HMDBP00792,,AC137834,SHMT2,12q12-q14
SMP0000004,Glycine and Serine Metabolism,Metabolic,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",HMDBP00054,,L13757,DLD,7q31-q32
SMP0000004,Glycine and Serine Metabolism,Metabolic,P21549,Serine--pyruvate aminotransferase,HMDBP00789,,CH471063,AGXT,2q37.3
SMP0000004,Glycine and Serine Metabolism,Metabolic,P50440,"Glycine amidinotransferase, mitochondrial",HMDBP00463,,AK294995,GATM,15q21.1
SMP0000004,Glycine and Serine Metabolism,Metabolic,Q14353,Guanidinoacetate N-methyltransferase,HMDBP00426,,BC016760,GAMT,19p13.3
SMP0000004,Glycine and Serine Metabolism,Metabolic,P13196,"5-aminolevulinate synthase, nonspecific, mitochondrial",HMDBP00022,,AB063322,ALAS1,3p21.1
